'H','X20180228RPOS03815A','02/28/2018 10:03','AR','ITEM_XREF',10
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000060',2,'0000000000001392500006'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000077',2,'0000000000001392500007'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000084',2,'0000000000001392500008'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000091',2,'0000000000001392500009'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000107',2,'0000000000001392500010'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000169',2,'0000000000001392500016'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000176',2,'0000000000001392500017'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000183',2,'0000000000001392500018'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000190',2,'0000000000001392500019'
'X','X20180228RPOS03815A','02/28/2018 10:03','413925000206',2,'0000000000001392500020'
