'H','X20180228RPOS03814A','02/28/2018 10:03','AR','ITEM_XREF',35
'X','X20180228RPOS03814A','02/28/2018 10:03','818279015102',2,'0000000000001149000001'
'X','X20180228RPOS03814A','02/28/2018 10:03','818279015089',2,'0000000000001149010001'
'X','X20180228RPOS03814A','02/28/2018 10:03','818279015119',2,'0000000000001149020001'
'X','X20180228RPOS03814A','02/28/2018 10:03','884603695203',2,'0000000000001247770001'
'X','X20180228RPOS03814A','02/28/2018 10:03','884603695210',2,'0000000000001247770002'
'X','X20180228RPOS03814A','02/28/2018 10:03','884603695227',2,'0000000000001247770003'
'X','X20180228RPOS03814A','02/28/2018 10:03','882931405860',2,'0000000000001311440001'
'X','X20180228RPOS03814A','02/28/2018 10:03','882931405877',2,'0000000000001311440002'
'X','X20180228RPOS03814A','02/28/2018 10:03','882931405884',2,'0000000000001311440003'
'X','X20180228RPOS03814A','02/28/2018 10:03','882931405891',2,'0000000000001311440004'
'X','X20180228RPOS03814A','02/28/2018 10:03','882931405907',2,'0000000000001311440005'
'X','X20180228RPOS03814A','02/28/2018 10:03','882931405914',2,'0000000000001311440006'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000015',2,'0000000000001392500001'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000022',2,'0000000000001392500002'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000039',2,'0000000000001392500003'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000046',2,'0000000000001392500004'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000053',2,'0000000000001392500005'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817354',2,'0000000000001392500006'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817361',2,'0000000000001392500007'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817378',2,'0000000000001392500008'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817385',2,'0000000000001392500009'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817392',2,'0000000000001392500010'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000114',2,'0000000000001392500011'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000121',2,'0000000000001392500012'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000138',2,'0000000000001392500013'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000145',2,'0000000000001392500014'
'X','X20180228RPOS03814A','02/28/2018 10:03','413925000152',2,'0000000000001392500015'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817453',2,'0000000000001392500016'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817460',2,'0000000000001392500017'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817477',2,'0000000000001392500018'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817484',2,'0000000000001392500019'
'X','X20180228RPOS03814A','02/28/2018 10:03','631411817491',2,'0000000000001392500020'
'X','X20180228RPOS03814A','02/28/2018 10:03','413967400019',2,'0000000000001396740001'
'X','X20180228RPOS03814A','02/28/2018 10:03','414017700011',2,'0000000000001401770001'
'X','X20180228RPOS03814A','02/28/2018 10:03','818279010947',2,'0000000000008819380001'
