'H','X20180228RPOS03541A','02/28/2018 08:20','AR','ITEM_XREF',30
'X','X20180228RPOS03541A','02/28/2018 08:20','648478777903',2,'0000000000001091500004'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031678',5,'0000000000001229580001'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031685',5,'0000000000001229580002'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031692',5,'0000000000001229580003'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031708',5,'0000000000001229580004'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031715',5,'0000000000001229580005'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031739',5,'0000000000001229580006'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178031753',5,'0000000000001229580007'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913126',5,'0000000000001229590001'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913133',5,'0000000000001229590002'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913140',5,'0000000000001229590003'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913157',5,'0000000000001229590004'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913119',5,'0000000000001229620001'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913188',5,'0000000000001229680001'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640179913195',5,'0000000000001229680002'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178032316',5,'0000000000001229710001'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178032323',5,'0000000000001229710002'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178032347',5,'0000000000001229710003'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178032422',5,'0000000000001229720001'
'X','X20180228RPOS03541A','02/28/2018 08:20','7640178032439',5,'0000000000001229720002'
'X','X20180228RPOS03541A','02/28/2018 08:20','691688181114',2,'0000000000001296400001'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478787742',2,'0000000000001401740001'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478784635',2,'0000000000001401750001'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478784567',2,'0000000000001401750002'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478784598',2,'0000000000001401750003'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478777835',2,'0000000000001401760001'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478777842',2,'0000000000001401760002'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478784727',2,'0000000000001401760003'
'X','X20180228RPOS03541A','02/28/2018 08:20','648478784710',2,'0000000000001401760004'
'X','X20180228RPOS03541A','02/28/2018 08:20','470806900147',2,'0000000000007080690014'
